,Date,Total Fuel Used (kWh per capita),Coal (kWh per capita),Oil (kWh per capita),Gas (kWh per capita),Nuclear (kWh per capita),Hydro (kWh per capita),Wind (kWh per capita),Bioenergy (kWh per capita),Solar (kWh per capita),Low Carbon (kWh per capita),Renewables (kWh per capita),Fossil Fuels (kWh per capita),UK Population,Rainfall (mm),Sunshine (hours),Temperature (C),Wind (knots)
179,2009-12-01,1236.495278510173,434.00842910942094,15.103709100280708,523.1798348073837,236.0047550053715,6.47301818583459,9.263112231452947,12.462420070428665,0.0,264.2033054930877,28.198550487716208,972.2919730170853,62471012.5,100.2,50.1,2.1,8.3745
180,2010-01-01,1370.4573348264278,547.48398656215,17.32497200447928,509.56237402015677,264.6147816349384,3.6062709966405375,11.48801791713326,16.339753639417694,0.0,296.0674132138858,31.452631578947365,1074.389921612542,62510000.0,79.4,53.3,0.9,10.0624
181,2010-02-01,1197.8580617967013,476.1487188867306,12.186078323568013,458.0739411293652,228.71188463379474,2.5635347692871733,6.9661270904542745,13.170624285685548,0.0,251.43074711812963,22.718862484334874,946.4273146785716,62552691.666666664,74.5,61.7,1.8,7.726800000000001
182,2010-03-01,1201.3664266507408,356.8865435496707,11.52803867590874,538.9961400241712,263.9382510371505,3.638479195616929,11.342401982254815,15.036572185967922,0.0,293.95570440099016,30.017453363839667,907.4107222497504,62595383.333333336,78.6,115.8,5.1,10.253300000000001
183,2010-04-01,1027.7634489884945,288.6352749505792,6.066182589423446,493.17878941841684,213.39234962121685,4.099774777561412,8.347957691867126,14.043119939429811,0.0,239.88320203007513,26.490852408858352,787.8802469584193,62638075.0,47.5,181.4,7.9,8.149099999999999
184,2010-05-01,992.1556692297423,274.36805442179764,5.2834388858251575,506.72813510577146,184.41982468838128,1.9650684978858481,6.265973134768081,13.125174495313024,0.0,205.77604081634829,21.356216127966952,786.3796284133942,62680766.666666664,38.9,199.1,9.7,9.9228
185,2010-06-01,923.2685113158752,268.64210692039063,6.558120533054153,448.0456076042788,178.84772775735817,1.2227004383660287,5.5577292653001305,14.394518797127338,0.0,200.0226762581517,21.174948500793494,723.2458350577236,62723458.333333336,38.4,208.7,14.1,6.765899999999999
186,2010-07-01,944.115801271864,299.98730207285297,8.460515739773747,424.8030506889462,181.79926600564158,3.036158821275481,11.293029762061238,14.736478181312698,0.0,210.864932770291,29.084179928193777,733.2508685015729,62766150.0,107.0,138.4,15.6,8.616200000000001
187,2010-08-01,902.2917872098953,241.89508350801464,7.030220400232929,436.9836996144784,185.48681508614567,2.9600928000980753,9.879309720327328,18.038065500597646,0.0,216.36428310716872,30.87746802102305,685.9275041027265,62808841.666666664,97.5,146.1,14.2,9.5941
188,2010-09-01,955.8118125996396,316.4778159747893,9.521326979028885,422.8948219772946,172.43770239495615,4.326195171053901,12.923121472507168,17.24931664356107,0.0,206.9363356820783,34.49863328712214,748.8754769175613,62851533.333333336,113.3,125.1,12.8,8.5613
189,2010-10-01,1102.5602748106046,405.9613740371234,11.362410459783867,403.46718637521974,241.19718463817628,5.949099460244561,16.70181960267417,17.921200237382685,0.0,281.76930393847766,40.553643836139166,820.7909708721269,62894225.0,100.5,104.6,9.4,8.5127
190,2010-11-01,1167.909676753045,487.2552330839213,12.000905668771509,423.595044244038,204.62467311845327,7.052839946878025,15.804269619182172,17.576711071800734,0.0,245.0769566881123,40.45228356965904,922.8511829967309,62936916.666666664,122.7,64.0,4.3,11.7194
